Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.037     0.000     0.000     0.037        2   <Class::Gem::Specification>#each_spec 
  0.00      0.001     0.000     0.000     0.001        1   <Class::Gem::Specification>#find_inactive_by_path 
  0.00      0.000     0.000     0.000     0.000        1   Gem::Specification#gems_dir 
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager#plugins 
  0.00      0.000     0.000     0.000     0.000        2   String#start_with? 
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::Plugin#register_for 
  0.00      0.000     0.000     0.000     0.000        2   Exception#message 
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#public_send 
  0.00      0.000     0.000     0.000     0.000        1   Slop::Option#required? 
  0.00      0.000     0.000     0.000     0.000        2   String#lstrip! 
  0.00      0.000     0.000     0.000     0.000        4   String#lstrip 
  0.00      0.000     0.000     0.000     0.000        1   CodeRay::PluginHost#make_plugin_hash 
